"Notes"	"Year"	"Year Code"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"2017"	"2017"	"Crawford County, OH"	"39033"	22	33820	65.1	40.8	98.5	13.9	0.1%
	"2017"	"2017"	"Cuyahoga County, OH"	"39035"	629	1019017	61.7	56.9	66.6	2.5	2.9%
	"2017"	"2017"	"Darke County, OH"	"39037"	29	40789	71.1	47.6	102.1	13.2	0.1%
	"2017"	"2017"	"Delaware County, OH"	"39041"	32	153126	20.9	14.3	29.5	3.7	0.1%
	"2017"	"2017"	"Erie County, OH"	"39043"	34	61416	55.4	38.3	77.4	9.5	0.2%
	"2017"	"2017"	"Fairfield County, OH"	"39045"	52	122166	42.6	31.8	55.8	5.9	0.2%
	"2017"	"2017"	"Fayette County, OH"	"39047"	30	22729	132.0	89.1	188.4	24.1	0.1%
	"2017"	"2017"	"Franklin County, OH"	"39049"	466	1020911	45.6	41.5	49.8	2.1	2.1%
	"2017"	"2017"	"Gallia County, OH"	"39053"	19	23905	Unreliable	47.9	124.1	18.2	0.1%
	"2017"	"2017"	"Geauga County, OH"	"39055"	25	75182	33.3	21.5	49.1	6.7	0.1%
	"2017"	"2017"	"Greene County, OH"	"39057"	70	136384	51.3	40.0	64.8	6.1	0.3%
	"2017"	"2017"	"Guernsey County, OH"	"39059"	14	31433	Unreliable	24.4	74.7	11.9	0.1%
	"2017"	"2017"	"Hamilton County, OH"	"39061"	466	647050	72.0	65.5	78.6	3.3	2.1%
	"2017"	"2017"	"Hancock County, OH"	"39063"	35	60844	57.5	40.1	80.0	9.7	0.2%
	"2017"	"2017"	"Highland County, OH"	"39071"	28	33915	82.6	54.9	119.3	15.6	0.1%
	"2017"	"2017"	"Huron County, OH"	"39077"	34	46015	73.9	51.2	103.3	12.7	0.2%
	"2017"	"2017"	"Jackson County, OH"	"39079"	11	25639	Unreliable	21.4	76.8	12.9	0.1%
	"2017"	"2017"	"Jefferson County, OH"	"39081"	31	55146	56.2	38.2	79.8	10.1	0.1%
	"2017"	"2017"	"Knox County, OH"	"39083"	16	49013	Unreliable	18.7	53.0	8.2	0.1%
	"2017"	"2017"	"Lake County, OH"	"39085"	100	189422	52.8	42.4	63.1	5.3	0.5%
	"2017"	"2017"	"Lawrence County, OH"	"39087"	34	48654	69.9	48.4	97.7	12.0	0.2%
	"2017"	"2017"	"Licking County, OH"	"39089"	45	137931	32.6	23.8	43.7	4.9	0.2%
	"2017"	"2017"	"Logan County, OH"	"39091"	18	36037	Unreliable	29.6	78.9	11.8	0.1%
	"2017"	"2017"	"Lorain County, OH"	"39093"	142	247932	57.3	47.9	66.7	4.8	0.7%
	"2017"	"2017"	"Lucas County, OH"	"39095"	174	342566	50.8	43.2	58.3	3.9	0.8%
	"2017"	"2017"	"Madison County, OH"	"39097"	21	36088	58.2	36.0	89.0	12.7	0.1%
	"2017"	"2017"	"Mahoning County, OH"	"39099"	119	189363	62.8	51.6	74.1	5.8	0.5%
	"2017"	"2017"	"Marion County, OH"	"39101"	33	53068	62.2	42.8	87.3	10.8	0.2%
	"2017"	"2017"	"Medina County, OH"	"39103"	51	143220	35.6	26.5	46.8	5.0	0.2%
	"2017"	"2017"	"Miami County, OH"	"39109"	45	83785	53.7	39.2	71.9	8.0	0.2%
	"2017"	"2017"	"Montgomery County, OH"	"39113"	540	427336	126.4	115.7	137.0	5.4	2.5%
	"2017"	"2017"	"Morrow County, OH"	"39117"	12	27861	Unreliable	22.3	75.2	12.4	0.1%
	"2017"	"2017"	"Muskingum County, OH"	"39119"	23	68841	33.4	21.2	50.1	7.0	0.1%
	"2017"	"2017"	"Ottawa County, OH"	"39123"	12	34010	Unreliable	18.2	61.6	10.2	0.1%
	"2017"	"2017"	"Pickaway County, OH"	"39129"	18	46952	Unreliable	22.7	60.6	9.0	0.1%
	"2017"	"2017"	"Pike County, OH"	"39131"	18	22403	Unreliable	47.6	127.0	18.9	0.1%
	"2017"	"2017"	"Portage County, OH"	"39133"	47	135604	34.7	25.5	46.1	5.1	0.2%
	"2017"	"2017"	"Preble County, OH"	"39135"	31	32997	93.9	63.8	133.4	16.9	0.1%
	"2017"	"2017"	"Richland County, OH"	"39139"	57	97488	58.5	44.3	75.8	7.7	0.3%
	"2017"	"2017"	"Ross County, OH"	"39141"	30	63004	47.6	32.1	68.0	8.7	0.1%
	"2017"	"2017"	"Sandusky County, OH"	"39143"	23	47439	48.5	30.7	72.7	10.1	0.1%
	"2017"	"2017"	"Scioto County, OH"	"39145"	56	61468	91.1	68.8	118.3	12.2	0.3%
	"2017"	"2017"	"Seneca County, OH"	"39147"	18	44534	Unreliable	24.0	63.9	9.5	0.1%
	"2017"	"2017"	"Shelby County, OH"	"39149"	22	37992	57.9	36.3	87.7	12.3	0.1%
	"2017"	"2017"	"Stark County, OH"	"39151"	113	302078	37.4	30.5	44.3	3.5	0.5%
	"2017"	"2017"	"Summit County, OH"	"39153"	259	441163	58.7	51.6	65.9	3.6	1.2%
	"2017"	"2017"	"Trumbull County, OH"	"39155"	138	164367	84.0	70.0	98.0	7.1	0.6%
	"2017"	"2017"	"Tuscarawas County, OH"	"39157"	23	73698	31.2	19.8	46.8	6.5	0.1%
	"2017"	"2017"	"Union County, OH"	"39159"	12	44325	Unreliable	14.0	47.3	7.8	0.1%
	"2017"	"2017"	"Warren County, OH"	"39165"	90	178964	50.3	40.4	61.8	5.3	0.4%
	"2017"	"2017"	"Washington County, OH"	"39167"	19	49944	Unreliable	22.9	59.4	8.7	0.1%
	"2017"	"2017"	"Wayne County, OH"	"39169"	29	90946	31.9	21.4	45.8	5.9	0.1%
	"2017"	"2017"	"Wood County, OH"	"39173"	19	107185	Unreliable	10.7	27.7	4.1	0.1%
"Total"	"2017"	"2017"			5281	9363729	56.4	54.9	57.9	0.8	24.3%
	"2018"	"2018"	"Adams County, OH"	"39001"	11	21919	Unreliable	25.1	89.8	15.1	0.1%
	"2018"	"2018"	"Allen County, OH"	"39003"	14	81714	Unreliable	9.4	28.7	4.6	0.1%
	"2018"	"2018"	"Ashtabula County, OH"	"39007"	34	78600	43.3	30.0	60.4	7.4	0.2%
	"2018"	"2018"	"Belmont County, OH"	"39013"	20	56311	35.5	21.7	54.9	7.9	0.1%
	"2018"	"2018"	"Brown County, OH"	"39015"	26	34866	74.6	48.7	109.3	14.6	0.1%
	"2018"	"2018"	"Butler County, OH"	"39017"	184	303308	60.7	51.9	69.4	4.5	0.8%
	"2018"	"2018"	"Champaign County, OH"	"39021"	11	31223	Unreliable	17.6	63.0	10.6	0.1%
	"2018"	"2018"	"Clark County, OH"	"39023"	76	108045	70.3	55.4	88.0	8.1	0.3%
	"2018"	"2018"	"Clermont County, OH"	"39025"	86	163862	52.5	42.0	64.8	5.7	0.4%
	"2018"	"2018"	"Clinton County, OH"	"39027"	17	33511	Unreliable	29.6	81.2	12.3	0.1%
	"2018"	"2018"	"Columbiana County, OH"	"39029"	34	84360	40.3	27.9	56.3	6.9	0.2%
	"2018"	"2018"	"Crawford County, OH"	"39033"	13	33640	Unreliable	20.6	66.1	10.7	0.1%
	"2018"	"2018"	"Cuyahoga County, OH"	"39035"	477	1016277	46.9	42.7	51.1	2.1	2.2%
	"2018"	"2018"	"Darke County, OH"	"39037"	19	40627	Unreliable	28.2	73.0	10.7	0.1%
	"2018"	"2018"	"Delaware County, OH"	"39041"	34	157559	21.6	14.9	30.2	3.7	0.2%
	"2018"	"2018"	"Erie County, OH"	"39043"	30	61395	48.9	33.0	69.8	8.9	0.1%
	"2018"	"2018"	"Fairfield County, OH"	"39045"	30	122998	24.4	16.5	34.8	4.5	0.1%
	"2018"	"2018"	"Franklin County, OH"	"39049"	531	1036502	51.2	46.9	55.6	2.2	2.4%
	"2018"	"2018"	"Gallia County, OH"	"39053"	19	23975	Unreliable	47.7	123.8	18.2	0.1%
	"2018"	"2018"	"Geauga County, OH"	"39055"	13	75505	Unreliable	9.2	29.4	4.8	0.1%
	"2018"	"2018"	"Greene County, OH"	"39057"	51	137353	37.1	27.6	48.8	5.2	0.2%
	"2018"	"2018"	"Hamilton County, OH"	"39061"	385	649312	59.3	53.4	65.2	3.0	1.8%
	"2018"	"2018"	"Hancock County, OH"	"39063"	27	61042	44.2	29.1	64.4	8.5	0.1%
	"2018"	"2018"	"Henry County, OH"	"39069"	10	21591	Unreliable	22.2	85.2	14.6	0.0%
	"2018"	"2018"	"Hocking County, OH"	"39073"	12	22941	Unreliable	27.0	91.4	15.1	0.1%
	"2018"	"2018"	"Huron County, OH"	"39077"	18	46083	Unreliable	23.1	61.7	9.2	0.1%
	"2018"	"2018"	"Jackson County, OH"	"39079"	14	25589	Unreliable	29.9	91.8	14.6	0.1%
	"2018"	"2018"	"Jefferson County, OH"	"39081"	29	54708	53.0	35.5	76.1	9.8	0.1%
	"2018"	"2018"	"Knox County, OH"	"39083"	10	49509	Unreliable	9.7	37.1	6.4	0.0%
	"2018"	"2018"	"Lake County, OH"	"39085"	76	190228	40.0	31.5	50.0	4.6	0.3%
	"2018"	"2018"	"Lawrence County, OH"	"39087"	37	48401	76.4	53.8	105.4	12.6	0.2%
	"2018"	"2018"	"Licking County, OH"	"39089"	44	139821	31.5	22.9	42.2	4.7	0.2%
	"2018"	"2018"	"Logan County, OH"	"39091"	12	36164	Unreliable	17.1	58.0	9.6	0.1%
	"2018"	"2018"	"Lorain County, OH"	"39093"	108	249758	43.2	35.1	51.4	4.2	0.5%
	"2018"	"2018"	"Lucas County, OH"	"39095"	178	342219	52.0	44.4	59.7	3.9	0.8%
	"2018"	"2018"	"Mahoning County, OH"	"39099"	103	189299	54.4	43.9	64.9	5.4	0.5%
	"2018"	"2018"	"Marion County, OH"	"39101"	30	53207	56.4	38.0	80.5	10.3	0.1%
	"2018"	"2018"	"Medina County, OH"	"39103"	40	144302	27.7	19.8	37.7	4.4	0.2%
	"2018"	"2018"	"Meigs County, OH"	"39105"	16	18840	Unreliable	48.5	137.9	21.2	0.1%
	"2018"	"2018"	"Miami County, OH"	"39109"	29	84771	34.2	22.9	49.1	6.4	0.1%
	"2018"	"2018"	"Montgomery County, OH"	"39113"	307	428429	71.7	63.6	79.7	4.1	1.4%
	"2018"	"2018"	"Muskingum County, OH"	"39119"	41	69008	59.4	42.6	80.6	9.3	0.2%
	"2018"	"2018"	"Ottawa County, OH"	"39123"	13	34219	Unreliable	20.2	65.0	10.5	0.1%
	"2018"	"2018"	"Perry County, OH"	"39127"	14	28596	Unreliable	26.8	82.1	13.1	0.1%
	"2018"	"2018"	"Pickaway County, OH"	"39129"	19	47213	Unreliable	24.2	62.8	9.2	0.1%
	"2018"	"2018"	"Pike County, OH"	"39131"	17	22276	Unreliable	44.5	122.2	18.5	0.1%
	"2018"	"2018"	"Portage County, OH"	"39133"	37	136367	27.1	19.1	37.4	4.5	0.2%
	"2018"	"2018"	"Preble County, OH"	"39135"	14	32948	Unreliable	23.2	71.3	11.4	0.1%
	"2018"	"2018"	"Richland County, OH"	"39139"	55	97977	56.1	42.3	73.1	7.6	0.3%
	"2018"	"2018"	"Ross County, OH"	"39141"	42	62692	67.0	48.3	90.6	10.3	0.2%
	"2018"	"2018"	"Sandusky County, OH"	"39143"	18	47364	Unreliable	22.5	60.1	9.0	0.1%
	"2018"	"2018"	"Scioto County, OH"	"39145"	53	61059	86.8	65.0	113.5	11.9	0.2%
	"2018"	"2018"	"Seneca County, OH"	"39147"	13	44612	Unreliable	15.5	49.8	8.1	0.1%
	"2018"	"2018"	"Shelby County, OH"	"39149"	10	38025	Unreliable	12.6	48.4	8.3	0.0%
	"2018"	"2018"	"Stark County, OH"	"39151"	85	301561	28.2	22.5	34.9	3.1	0.4%
	"2018"	"2018"	"Summit County, OH"	"39153"	137	442446	31.0	25.8	36.1	2.6	0.6%
	"2018"	"2018"	"Trumbull County, OH"	"39155"	87	162931	53.4	42.8	65.9	5.7	0.4%
	"2018"	"2018"	"Tuscarawas County, OH"	"39157"	14	73581	Unreliable	10.4	31.9	5.1	0.1%
	"2018"	"2018"	"Warren County, OH"	"39165"	45	182202	24.7	18.0	33.0	3.7	0.2%
	"2018"	"2018"	"Washington County, OH"	"39167"	13	49819	Unreliable	13.9	44.6	7.2	0.1%
	"2018"	"2018"	"Wayne County, OH"	"39169"	20	91114	22.0	13.4	33.9	4.9	0.1%
	"2018"	"2018"	"Williams County, OH"	"39171"	10	29453	Unreliable	16.3	62.4	10.7	0.0%
	"2018"	"2018"	"Wood County, OH"	"39173"	17	107131	Unreliable	9.2	25.4	3.8	0.1%
"Total"	"2018"	"2018"			4142	9400098	44.1	42.7	45.4	0.7	19.1%
	"2019"	"2019"	"Adams County, OH"	"39001"	14	21905	Unreliable	34.9	107.2	17.1	0.1%
	"2019"	"2019"	"Allen County, OH"	"39003"	16	81593	Unreliable	11.2	31.8	4.9	0.1%
	"2019"	"2019"	"Ashtabula County, OH"	"39007"	37	78426	47.2	33.2	65.0	7.8	0.2%
	"2019"	"2019"	"Belmont County, OH"	"39013"	21	55945	37.5	23.2	57.4	8.2	0.1%
	"2019"	"2019"	"Brown County, OH"	"39015"	14	34691	Unreliable	22.1	67.7	10.8	0.1%
	"2019"	"2019"	"Butler County, OH"	"39017"	190	304432	62.4	53.5	71.3	4.5	0.9%
	"2019"	"2019"	"Champaign County, OH"	"39021"	11	31339	Unreliable	17.5	62.8	10.6	0.1%
	"2019"	"2019"	"Clark County, OH"	"39023"	63	107667	58.5	45.0	74.9	7.4	0.3%
	"2019"	"2019"	"Clermont County, OH"	"39025"	86	165156	52.1	41.7	64.3	5.6	0.4%
